	01A	01D	01E	01F	01G	02A	02B	02C	02H	02I	02J	02K	02L	02M	02N	02O	03A	03B	03C	03D	03E	03F	03I	04B	04C	05C	05E	05F	05G	06A	07A	07B	07C	07D	08B	09A	10A	10B	10C	11A	11B	12A	12B	13B	13C	13D	14A	15A	16A	16C	16D	16E	16F	16G	16H	17B	17C	17G	17I	20B	20C
Cutibacterium acnes	9.477676177666181e-05	0.0006901651466600936	0.00014884387796017059	2.7324768536439856e-05	7.580630206945373e-06	3.047806774183665e-06	1.31213088863468e-05	6.8516455465907526e-06	0.0002133838032415783	8.380920590957636e-06	1.043270876763106e-05	2.550109878958595e-06	0.00032521145381466396	0.0012611904811131557	0.0	0.00011882190002606415	5.3896875558687124e-05	2.9537246291756963e-05	4.106124695595951e-05	9.223124889495662e-05	0.0060938185006576065	0.002457675602936318	5.694958425479085e-06	0.0011856986501276906	0.002715827149899007	0.03124482290182565	0.08112558000299357	0.0834597875569044	0.006058125255832992	5.200083617344567e-06	1.7597327489118192e-05	6.195931560693201e-06	2.315216100412923e-05	1.6276659812384367e-05	0.0	0.044229330376699454	0.005681418006808311	0.0012668195980415655	0.006620291023960749	0.26657458563535913	0.00621370207794404	0.0010670398748606736	0.0010272760418468614	3.4800498343136274e-06	0.021485313836112026	0.049818061528283164	8.86584842945525e-05	2.018213213331209e-05	0.0	0.12236876583107695	0.00155478324492409	0.0044125592843849435	0.00017381702179869945	0.0009147407786058274	0.0004660868828321134	0.03804161566707466	0.001182283844289258	0.0113272160512798	0.01632804527321644	0.0005339365373133252	8.067801806380825e-05
Cutibacterium granulosum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016921700872676287	0.0	0.0	0.0	0.0005798349955269872	0.0	0.0017132507709628469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021321878961508194	0.00016433853738701725	0.0	0.00040326645831232987	0.0027131018153117603	0.0	3.273756087779631e-05	2.8387593557080796e-05	0.0	0.0004680345080577833	0.0013893483294740324	0.0	0.0	0.0	0.004279849768538737	0.0	0.0	0.0	0.0	0.0	0.0007833537331701346	1.838479662172291e-05	0.0	0.0	0.0	0.0
Cutibacterium modestum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000898069151324652	0.0006853003083851387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004186841686987063	0.0	0.0	0.0	0.0007892659826361484	0.0	6.138292664586808e-06	0.0	0.0	0.00041743618286234726	0.0009923916639100231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53553781186979e-05	0.0	0.0	0.0	0.0
Microlunatus sagamiharensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.895136002248506e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003810344256320201	0.0	0.0004895002202750991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.20272842516602e-05	0.0	0.0	0.0	0.0031570639305445935	1.6739267875928545e-05	5.115243887155674e-06	3.4597379647692225e-05	0.0	0.0	0.0008269930532583526	2.8209517730084886e-06	0.0	0.0	0.0019215652022010656	0.0	0.0	0.0	0.0	0.0	0.0007833537331701346	6.929654111264789e-05	0.0	0.0	0.0	0.0
Friedmanniella luteola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6035766172871973e-06	0.0	9.912916828014408e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019880056989496703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002663772691397001	4.292119968186807e-06	0.0	0.0	0.0	0.0	0.0	1.1283807092033954e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.808331424142915e-05	0.0	0.0	0.0	0.0
Micrococcus luteus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.280286532901165e-05	0.0	9.55244712517752e-06	0.0	0.0	3.672455873009131e-05	0.0	0.0	0.0	3.615034336253405e-06	0.0	5.007469140970672e-06	6.707727192360482e-05	0.0	0.0	0.0	0.0	0.00012558738265428933	0.0031808091183194724	0.0	0.013412306035537716	0.0	9.880158872954677e-06	0.0	0.0	0.0	0.0	0.0	0.0001666983264263368	0.0	0.0	0.0016130658332493195	0.05436069455406472	0.00034809092941995003	0.00012890414595632298	7.806588228197219e-05	0.0	0.0003415386950691932	0.0008766126364538538	2.1560131407993448e-05	7.679926387012566e-06	0.0	0.0	0.0	0.0	0.0	0.0005380828109446044	0.0	0.011358629130966953	6.929654111264789e-05	0.0	0.0	0.0	0.0
Kocuria rosea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.915593849613086e-06	0.0	0.0	0.0	0.0	4.867110193144631e-06	0.0	0.0	0.0	0.0	0.0	0.0	7.65555820867229e-06	0.0	0.0	0.0	0.0	0.0	0.00046386799642158974	0.004340667564735818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004884648634818241	0.0	0.0	0.0	0.00611681136543015	0.0	0.0	0.0	0.0	0.0	0.0031094938802514057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005385556915544676	0.0	0.0	0.0	0.0	0.0
Kocuria palustris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.664950159380938e-06	0.0	0.0	0.0	0.0	1.5928724268473338e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.197356645115663e-06	0.0	0.0001369851975407128	0.0	0.0	0.0	0.0013253371326331135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.20272842516602e-05	0.0	0.0	0.0	0.0019238358326756117	1.5451631885472503e-05	1.4322682884035887e-05	2.3952032063786922e-05	0.0	0.00014547018493687858	0.0002150181938471717	0.0	0.0	0.0	0.00227094069351035	0.0	0.0002551479858317824	0.0	0.0	0.0	0.04479804161566708	2.1213226871218743e-05	0.0	0.0	0.0	0.0
Kocuria rhizophila	0.0	0.0	6.075260324904922e-05	0.0	0.0	0.0	0.0	7.288984624032715e-06	0.0	0.0	0.0	0.0	3.274237766297297e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00013634184619254458	0.0	0.0	0.0	0.0	8.895772938012162e-05	0.0021536728405288095	0.001122586439155815	0.0013706006167702775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009924365480265631	0.0	0.0	0.0005488904571473379	0.0014798737174427782	0.0001669634667624668	1.8926402382475994e-05	2.2177807466469374e-05	0.0	0.0005312824145520783	0.0019847833278200462	1.6321220972406255e-05	0.0	0.0	0.004279849768538737	0.0	0.0	0.0	0.0	0.0	0.0014687882496940024	3.53553781186979e-05	0.0	0.0	0.0	0.0
Rothia mucilaginosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4987126195357032e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73594545736492e-06	0.0	3.6455039088915664e-06	0.0	0.0	0.0	0.0	0.0	0.0002485007123687088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018918321696756361	0.0	0.0	0.0	0.0004932912391475928	6.00896795546153e-06	6.649817053302376e-06	0.0	0.0	0.0004933336706555013	0.0010089315249751903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004406364749082008	0.0	0.0	0.0	0.0	0.0
